ROW_ID,ORDER_ID,ORDER_DATE,ORDER_PRIORITY,ORDER_QUANTITY,SALES,DISCOUNT,SHIP_MODE,PROFIT,UNIT_PRICE,SHIPPING_COST,CUSTOMER_ID,PRODUCT_ID,PRODUCT_CONTAINER,PRODUCT_BASE_MARGIN
161,998,25/11/2009,NOT SPECIFIED,16,248.26,0.07,REGULAR AIR,93.8,15.74,1.39,4583,1016,SMALL BOX,0.4
164,1028,05/01/2009,HIGH,6,165.75,0.03,REGULAR AIR,-28.46,28.48,1.99,5555,1396,SMALL PACK,0.4
165,1028,05/01/2009,HIGH,11,2021.147,0.01,REGULAR AIR,-60.39,205.99,5.99,5555,1557,SMALL BOX,0.59
167,1057,19/02/2012,CRITICAL,41,341.36,0.09,REGULAR AIR,-52.48,8.46,3.62,4473,1920,SMALL PACK,0.61
169,1059,26/02/2009,CRITICAL,22,127.33,0.02,REGULAR AIR,5.2955,5.34,2.99,9778,1283,SMALL BOX,0.38
170,1059,26/02/2009,CRITICAL,24,990.1,0.03,REGULAR AIR,310.216,40.98,7.47,9778,1448,SMALL BOX,0.37
175,1154,14/02/2012,CRITICAL,44,4462.23,0.04,DELIVERY TRUCK,440.72,100.98,26.22,4348,1017,JUMBO BOX,0.6
176,1154,14/02/2012,CRITICAL,11,663.784,0.25,REGULAR AIR,-481.041,71.37,69,4348,1018,LARGE BOX,0.68
180,1187,19/11/2012,MEDIUM,14,222.91,0.05,REGULAR AIR,20.21,15.98,4,5922,1405,SMALL BOX,0.37
184,1218,19/06/2009,NOT SPECIFIED,3,46.46,0.1,REGULAR AIR,-25.13,14.42,6.75,914,1794,MEDIUM BOX,0.52
185,1221,18/04/2012,NOT SPECIFIED,1,14.68,0.06,REGULAR AIR,-13.777,8.6,6.19,740,1683,SMALL BOX,0.38
186,1221,18/04/2012,NOT SPECIFIED,11,10145.14,0.03,REGULAR AIR,3724.5725,896.99,19.99,740,1318,SMALL BOX,0.38
187,1221,18/04/2012,NOT SPECIFIED,16,68.45,0.08,REGULAR AIR,-57.8795,4.24,5.41,740,1684,SMALL BOX,0.35
191,1282,27/02/2012,NOT SPECIFIED,26,892.38,0,REGULAR AIR,366.48,31.78,1.99,3404,1048,SMALL PACK,0.42
192,1282,27/02/2012,NOT SPECIFIED,10,29.41,0.01,REGULAR AIR,-2.06,2.78,1.34,3404,1149,WRAP BAG,0.45
193,1285,31/05/2012,CRITICAL,27,3874.12,0,DELIVERY TRUCK,-305.98,130.98,54.74,8156,1632,JUMBO BOX,0.69
194,1285,31/05/2012,CRITICAL,8,1452.216,0.05,DELIVERY TRUCK,-277.29,218.75,69.64,8156,1147,JUMBO BOX,0.77
198,1313,12/09/2009,CRITICAL,34,840.07,0,REGULAR AIR,-83.75,22.84,16.92,8156,1776,SMALL BOX,0.39
199,1314,12/05/2009,MEDIUM,4,42.58,0,REGULAR AIR,-7.61,9.27,4.39,6842,1277,WRAP BAG,0.38
203,1344,15/04/2012,LOW,15,834.904,0.06,REGULAR AIR,-11.682,65.99,5.26,6065,1019,SMALL BOX,0.59
204,1344,15/04/2012,LOW,18,2480.9205,0.01,REGULAR AIR,313.578,155.99,8.99,6065,1020,SMALL BOX,0.58
205,1345,27/10/2012,LOW,24,2443.85,0.08,DELIVERY TRUCK,-120.85,100.98,35.84,1778,1551,JUMBO BOX,0.62
206,1346,17/06/2012,HIGH,48,4789.89,0.09,DELIVERY TRUCK,421.15,100.98,26.22,9389,1017,JUMBO BOX,0.6
213,1412,12/03/2010,NOT SPECIFIED,13,59.03,0.1,EXPRESS AIR,26.92,3.69,0.5,6590,1021,SMALL BOX,0.38
214,1412,12/03/2010,NOT SPECIFIED,21,97.48,0.05,REGULAR AIR,-5.77,4.71,0.7,6590,1022,WRAP BAG,0.8
222,1445,09/01/2011,MEDIUM,3,1326.09,0,REGULAR AIR,-20.5505,420.98,19.99,6684,1462,SMALL BOX,0.35
223,1445,09/01/2011,MEDIUM,30,339.49,0.08,REGULAR AIR,-74.21,11.97,5.81,6684,1394,SMALL PACK,0.6
228,1538,17/06/2011,NOT SPECIFIED,15,1297.304,0,REGULAR AIR,149.823,95.99,4.9,8220,1937,SMALL BOX,0.56
229,1539,09/03/2011,LOW,33,511.83,0.1,REGULAR AIR,-172.8795,15.99,13.18,6906,1023,SMALL BOX,0.37
230,1539,09/03/2011,LOW,38,184.99,0.05,REGULAR AIR,-144.55,4.89,4.93,6906,1024,SMALL PACK,0.66
231,1540,04/08/2012,HIGH,30,80.9,0.09,REGULAR AIR,5.76,2.88,0.7,7063,1025,WRAP BAG,0.56
237,1600,02/03/2010,MEDIUM,32,303.59,0.1,REGULAR AIR,-45.99,9.65,6.22,10676,1051,SMALL BOX,0.55
238,1600,02/03/2010,MEDIUM,36,191.6,0.04,REGULAR AIR,-150.74,4.98,7.44,10676,1878,SMALL BOX,0.36
246,1699,29/12/2010,CRITICAL,40,430.88,0.05,REGULAR AIR,39,11.09,5.25,5376,1622,SMALL BOX,0.36
247,1701,18/05/2012,HIGH,49,2047.58,0.01,REGULAR AIR,902.62,40.98,1.99,1359,1560,SMALL PACK,0.44
248,1701,18/05/2012,HIGH,1,56.61,0.02,REGULAR AIR,-22.16,40.97,14.45,1359,1195,LARGE BOX,0.57
249,1702,06/05/2011,HIGH,23,67.24,0.06,REGULAR AIR,4.9,2.84,0.93,1321,1026,WRAP BAG,0.54
250,1761,23/12/2010,HIGH,25,12028.23,0.01,DELIVERY TRUCK,-547.61,449.99,49,6906,1027,JUMBO DRUM,0.38
256,1792,08/11/2010,LOW,28,370.48,0.04,REGULAR AIR,-5.45,13.48,4.51,6590,1028,SMALL BOX,0.59
257,1793,11/07/2012,NOT SPECIFIED,36,233.43,0.03,REGULAR AIR,-71.898,6.28,5.36,1740,1908,SMALL BOX,0.4
259,1799,06/03/2009,NOT SPECIFIED,10,1187.12,0.06,DELIVERY TRUCK,-127.3,113.98,30,5125,1656,JUMBO DRUM,0.69
260,1799,06/03/2009,NOT SPECIFIED,16,108.31,0.05,REGULAR AIR,-52.77,6.48,6.86,5125,1685,SMALL BOX,0.37
264,1826,15/04/2012,NOT SPECIFIED,5,28.32,0.09,REGULAR AIR,-14.35,4.98,4.75,9464,1062,SMALL BOX,0.36
267,1856,19/03/2012,NOT SPECIFIED,24,1449.3,0.08,REGULAR AIR,-712.14,60.98,49,4144,1348,LARGE BOX,0.59
268,1856,19/03/2012,NOT SPECIFIED,43,4374.6865,0.05,REGULAR AIR,973.161,125.99,8.08,4144,1443,SMALL BOX,0.57
269,1856,19/03/2012,NOT SPECIFIED,44,4283.235,0.1,REGULAR AIR,676.125,125.99,8.8,4144,1627,SMALL BOX,0.59
274,1891,14/12/2009,LOW,3,302.36,0.09,REGULAR AIR,290.31,107.53,5.81,6533,1349,MEDIUM BOX,0.65
280,1925,04/03/2012,CRITICAL,7,1874.37,0.08,REGULAR AIR,67.84,276.2,24.49,8645,1068,LARGE BOX,0
288,2020,20/06/2010,MEDIUM,42,213.75,0.03,REGULAR AIR,-188.77,5.02,5.14,4379,1239,SMALL PACK,0.79
289,2022,14/03/2012,CRITICAL,45,186.44,0,REGULAR AIR,-157.18,3.95,5.13,5004,1789,SMALL BOX,0.59
309,2147,05/09/2012,NOT SPECIFIED,15,605.1,0.04,EXPRESS AIR,92.81,40.98,5.33,7473,1531,SMALL BOX,0.57
312,2181,12/09/2011,MEDIUM,40,102.56,0.06,REGULAR AIR,36.62,2.61,0.5,4245,1282,SMALL BOX,0.39
313,2181,12/09/2011,MEDIUM,3,15.87,0.01,EXPRESS AIR,2.53,3.49,0.76,4245,1938,WRAP BAG,0.39
314,2208,30/04/2011,NOT SPECIFIED,7,82.06,0.07,REGULAR AIR,-26.9905,11.5,7.19,8949,1275,SMALL BOX,0.4
315,2208,30/04/2011,NOT SPECIFIED,41,23281.05,0.09,REGULAR AIR,9097.645,599.99,24.49,8949,1777,LARGE BOX,0.37
316,2209,09/07/2012,HIGH,27,9418.73,0,DELIVERY TRUCK,2245.24,320.98,58.95,3876,1082,JUMBO DRUM,0.57
317,2209,09/07/2012,HIGH,1,5.68,0.02,REGULAR AIR,-1.82,4.76,0.88,3876,1566,WRAP BAG,0.39
318,2209,09/07/2012,HIGH,42,174.59,0.08,REGULAR AIR,25.88,4.28,0.94,3876,1407,WRAP BAG,0.56
319,2209,09/07/2012,HIGH,13,1265.497,0.1,REGULAR AIR,-161.117,125.99,3,3876,1521,SMALL BOX,0.59
330,2275,21/10/2012,NOT SPECIFIED,49,278,0.08,REGULAR AIR,41.67,6.08,1.17,2775,1029,WRAP BAG,0.56
331,2277,01/01/2011,NOT SPECIFIED,10,66.54,0.01,REGULAR AIR,-46.03,5.98,4.38,7063,1030,SMALL PACK,0.75
332,2277,01/01/2011,NOT SPECIFIED,21,845.32,0.06,REGULAR AIR,33.67,40.99,19.99,7063,1031,SMALL BOX,0.36
333,2279,22/02/2010,MEDIUM,49,4577.18,0,DELIVERY TRUCK,205.83,90.98,30,5938,1558,JUMBO DRUM,0.61
334,2279,22/02/2010,MEDIUM,39,845.9,0.04,REGULAR AIR,52.53,20.98,5.42,5938,1559,SMALL BOX,0.66
338,2306,25/07/2011,HIGH,15,113.5,0.05,REGULAR AIR,-46.345,7.45,6.28,8749,1835,SMALL BOX,0.4
342,2339,14/12/2010,LOW,12,1634.98,0.09,REGULAR AIR,-120.45,140.85,19.99,6017,1406,SMALL BOX,0.73
347,2373,11/03/2009,NOT SPECIFIED,36,317.59,0.06,REGULAR AIR,-46.115,8.6,6.19,914,1683,SMALL BOX,0.38
353,2465,23/06/2011,CRITICAL,28,1082.45,0.04,REGULAR AIR,271.87,39.48,1.99,5938,1065,SMALL PACK,0.54
361,2530,20/03/2009,MEDIUM,9,23.46,0.06,REGULAR AIR,4.58,2.61,0.5,5938,1401,SMALL BOX,0.39
362,2532,10/10/2011,HIGH,39,282.07,0.03,REGULAR AIR,140.01,7.31,0.49,4907,1032,SMALL BOX,0.38
363,2532,10/10/2011,HIGH,24,426.037,0.01,REGULAR AIR,-78.958,20.99,2.5,4907,1033,WRAP BAG,0.81
377,2626,07/09/2011,NOT SPECIFIED,16,48.37,0.02,REGULAR AIR,18.02,2.88,0.5,3929,1879,SMALL BOX,0.36
378,2628,21/10/2010,LOW,14,34.59,0.04,REGULAR AIR,-60.13,2.18,5,1871,1425,WRAP BAG,0.81
379,2628,21/10/2010,LOW,29,5029.216,0.02,DELIVERY TRUCK,-752.832,218.75,69.64,1871,1147,JUMBO BOX,0.77
381,2631,23/09/2010,LOW,27,1078.49,0.08,REGULAR AIR,252.66,40.96,1.99,7500,1034,SMALL PACK,0.55
382,2656,03/05/2010,CRITICAL,3,523.11,0.05,DELIVERY TRUCK,-214.533,159.31,60,2091,1741,JUMBO DRUM,0.55
383,2656,03/05/2010,CRITICAL,29,913.41,0.01,REGULAR AIR,237.141,35.99,1.25,2091,1543,SMALL PACK,0.57
392,2691,29/04/2012,LOW,14,3363.14,0.1,DELIVERY TRUCK,98.75,260.98,41.91,8220,1243,JUMBO BOX,0.59
393,2720,07/06/2010,CRITICAL,36,2051.016,0.02,EXPRESS AIR,483.966,65.99,3.99,857,1441,SMALL BOX,0.59
406,2757,19/07/2011,CRITICAL,39,3554.46,0.07,DELIVERY TRUCK,-1766.01,95.95,74.35,10507,1035,JUMBO DRUM,0.57
413,2791,09/10/2009,HIGH,47,191.67,0,REGULAR AIR,-236.2675,3.89,7.01,1817,1036,SMALL BOX,0.37
414,2791,09/10/2009,HIGH,49,5586.33,0.09,DELIVERY TRUCK,80.44,120.98,30,1817,1037,JUMBO DRUM,0.64
415,2791,09/10/2009,HIGH,18,507.64,0.1,REGULAR AIR,118.94,30.98,5.76,1817,1038,SMALL BOX,0.4
422,2823,08/09/2011,HIGH,17,357.43,0.08,REGULAR AIR,-135.98,20.97,6.5,2230,1155,SMALL BOX,0.78
423,2823,08/09/2011,HIGH,21,4754.08,0,DELIVERY TRUCK,299.88,225.02,28.66,2230,1276,JUMBO DRUM,0.72
424,2848,09/03/2012,CRITICAL,35,1476.39,0.06,EXPRESS AIR,-303.62,43.31,15.9,3404,1628,MEDIUM BOX,0.75
425,2848,09/03/2012,CRITICAL,8,863.583,0.04,REGULAR AIR,-264.275,125.99,8.99,3404,1629,SMALL BOX,0.55
431,2883,22/01/2011,LOW,34,2154.34,0.1,REGULAR AIR,177.66,64.98,6.88,5938,1392,SMALL BOX,0.73
434,2912,11/03/2012,LOW,7,16587.13,0.08,DELIVERY TRUCK,-3476.8593,2550.14,29.7,6966,1381,JUMBO DRUM,0.57
435,2912,11/03/2012,LOW,9,507.98,0.05,EXPRESS AIR,170.9,55.98,4.86,6966,1939,SMALL BOX,0.36
439,2947,25/04/2011,CRITICAL,8,57.04,0.05,REGULAR AIR,-29.06,6.48,6.81,3876,1184,SMALL BOX,0.36
440,2976,09/12/2010,NOT SPECIFIED,30,14223.82,0.09,DELIVERY TRUCK,3424.22,500.98,26,8836,1039,JUMBO DRUM,0.6
458,3109,23/07/2010,LOW,47,1005.74,0.1,REGULAR AIR,199.3,22.23,8.99,10676,1745,SMALL PACK,0.41
459,3109,23/07/2010,LOW,37,6477.7395,0.01,REGULAR AIR,1653.966,205.99,8.99,10676,1880,SMALL BOX,0.58
460,3110,16/12/2009,HIGH,13,1601.32,0.04,DELIVERY TRUCK,377.81,119.99,14,2440,1836,JUMBO DRUM,0.36
461,3136,09/08/2009,NOT SPECIFIED,8,238.74,0.1,REGULAR AIR,-38.89,30.98,8.99,1624,1806,SMALL PACK,0.58
471,3232,08/10/2012,CRITICAL,5,42.66,0.06,REGULAR AIR,-11.8335,7.84,4.71,2885,1040,SMALL BOX,0.35
472,3235,14/11/2011,LOW,31,142.97,0.1,EXPRESS AIR,-12.26,4.71,0.7,10533,1288,WRAP BAG,0.85
473,3266,16/03/2011,LOW,4,17.12,0.03,REGULAR AIR,-2.553,3.8,1.49,6036,1161,SMALL BOX,0.38
474,3271,31/12/2011,CRITICAL,45,11532.99,0.07,DELIVERY TRUCK,2753.39,264.98,17.86,1740,1909,JUMBO DRUM,0.58
475,3271,31/12/2011,CRITICAL,18,146.1,0.06,EXPRESS AIR,51.14,8.34,1.43,1740,1910,WRAP BAG,0.35
483,3361,22/08/2012,NOT SPECIFIED,49,213.71,0.06,REGULAR AIR,-208.02,4.28,6.72,9418,1778,SMALL BOX,0.4
484,3361,22/08/2012,NOT SPECIFIED,23,133.66,0.07,REGULAR AIR,-5.6,5.85,2.27,9418,1339,WRAP BAG,0.56
485,3362,28/07/2011,LOW,40,1699.52,0.04,REGULAR AIR,734.75,40.98,1.99,7687,1560,SMALL PACK,0.44
486,3362,28/07/2011,LOW,50,760.85,0.03,REGULAR AIR,-109.1,15.14,4.53,7687,1561,SMALL BOX,0.81
487,3363,22/09/2011,HIGH,21,8185.89,0.09,REGULAR AIR,2137.28,415.88,11.37,2661,1237,SMALL BOX,0.57
488,3393,03/07/2011,HIGH,7,127.74,0.04,EXPRESS AIR,-5.57,15.98,4,2118,1405,SMALL BOX,0.37
489,3393,03/07/2011,HIGH,33,325.92,0.03,REGULAR AIR,-36.47,9.48,7.29,2118,1723,SMALL PACK,0.45
503,3463,17/08/2010,CRITICAL,43,264.75,0.08,REGULAR AIR,-212.51,6.48,8.4,7997,1837,SMALL BOX,0.37
510,3521,25/10/2012,LOW,50,204.11,0.06,REGULAR AIR,28.71,4.28,0.94,5305,1407,WRAP BAG,0.56
513,3524,02/05/2012,HIGH,21,427.32,0,REGULAR AIR,52.35,18.97,9.03,5150,1041,SMALL BOX,0.37
521,3585,22/11/2009,HIGH,27,259.72,0.07,REGULAR AIR,78.05,10.06,2.06,9669,1457,WRAP BAG,0.39
522,3585,22/11/2009,HIGH,34,54.69,0.07,REGULAR AIR,-35.75,1.68,1.57,9669,1114,WRAP BAG,0.59
534,3648,16/06/2010,LOW,46,134.81,0.1,REGULAR AIR,52.36,3.15,0.49,2577,1928,SMALL BOX,0.37
535,3648,16/06/2010,LOW,34,5488.5265,0.05,REGULAR AIR,1382.445,195.99,4.2,2577,1929,SMALL BOX,0.57
548,3685,16/01/2012,MEDIUM,29,106.78,0,REGULAR AIR,-98.05,3.28,5,5364,1686,WRAP BAG,0.56
549,3687,02/02/2010,CRITICAL,25,79.37,0.07,REGULAR AIR,6.14,3.29,1.35,6370,1340,WRAP BAG,0.4
550,3745,28/09/2010,LOW,38,1143.35,0.04,EXPRESS AIR,411.1,29.18,8.55,4736,1463,SMALL BOX,0.42
555,3777,07/04/2009,MEDIUM,14,244.85,0.06,EXPRESS AIR,38.06,17.67,8.99,3929,1595,SMALL PACK,0.47
574,3907,18/08/2012,MEDIUM,36,218.12,0.02,REGULAR AIR,-1642.65,4.48,49,857,1044,LARGE BOX,0.6
577,3908,08/03/2010,MEDIUM,8,820.284,0,REGULAR AIR,-180.202,115.99,2.5,3142,1042,SMALL BOX,0.57
583,3973,23/03/2012,NOT SPECIFIED,21,316.35,0.06,REGULAR AIR,117.91,15.68,3.73,2384,1798,SMALL PACK,0.46
587,4007,17/06/2010,HIGH,18,1038.4,0.01,REGULAR AIR,112.36,56.96,13.22,4023,1408,SMALL BOX,0.56
588,4007,17/06/2010,HIGH,1,305.82,0.05,REGULAR AIR,-232.24,279.48,35,4023,1081,LARGE BOX,0.8
591,4034,13/11/2010,NOT SPECIFIED,44,3367.24,0.07,REGULAR AIR,-1183.69,79.52,48.2,6977,1700,MEDIUM BOX,0.74
592,4034,13/11/2010,NOT SPECIFIED,37,5723.24,0,DELIVERY TRUCK,-194.967,145.98,51.92,6977,1727,JUMBO BOX,0.69
593,4037,23/03/2010,HIGH,27,188.07,0,REGULAR AIR,-101.85,6.48,7.86,9687,1060,SMALL BOX,0.37
594,4067,06/10/2012,HIGH,16,118.38,0.04,REGULAR AIR,-42.458,7.1,6.05,6684,1311,SMALL BOX,0.39
605,4128,06/10/2011,NOT SPECIFIED,38,391.42,0.04,REGULAR AIR,25.03,9.99,5.12,2343,1940,SMALL BOX,0.4
606,4132,28/05/2011,NOT SPECIFIED,5,14.76,0.01,REGULAR AIR,1.32,2.88,0.5,8896,1043,SMALL BOX,0.36
617,4257,24/03/2011,MEDIUM,45,253.89,0.01,REGULAR AIR,-83.66,5.58,5.3,7945,1687,SMALL BOX,0.35
618,4261,02/10/2012,CRITICAL,22,1556.87,0.04,DELIVERY TRUCK,-521.42,68.81,60,740,1460,JUMBO DRUM,0.41
619,4261,02/10/2012,CRITICAL,33,195.98,0.08,REGULAR AIR,-71.47,5.98,5.35,740,1688,SMALL BOX,0.4
620,4261,02/10/2012,CRITICAL,32,9235.97,0.04,REGULAR AIR,2848.17,300.65,24.49,740,1256,LARGE BOX,0.52
621,4261,02/10/2012,CRITICAL,48,274.38,0.04,REGULAR AIR,-94.82,5.78,5.37,740,1689,SMALL BOX,0.36
622,4294,14/08/2012,MEDIUM,8,17.72,0.02,REGULAR AIR,-15.34,1.74,4.08,5364,1332,SMALL PACK,0.53
623,4321,17/07/2009,MEDIUM,47,1505.57,0.02,EXPRESS AIR,-54.63,30.53,19.99,1181,1113,SMALL BOX,0.39
625,4354,29/09/2009,NOT SPECIFIED,6,49.04,0.02,REGULAR AIR,7.74,7.38,5.21,3527,1387,SMALL BOX,0.56
632,4416,29/06/2012,LOW,46,7441.29,0.1,REGULAR AIR,2665.396,165.98,19.99,3180,1409,SMALL BOX,0.4
636,4454,01/02/2009,LOW,17,55.45,0.01,REGULAR AIR,21.42,3.08,0.5,3180,1410,SMALL BOX,0.37
638,4487,22/02/2010,MEDIUM,50,325.24,0.05,REGULAR AIR,-79.419,6.54,5.27,6563,1579,SMALL BOX,0.36
643,4545,16/01/2010,NOT SPECIFIED,33,126.38,0.08,REGULAR AIR,26.64,4,1.3,1181,1911,WRAP BAG,0.37
644,4545,16/01/2010,NOT SPECIFIED,4,33.1,0.06,REGULAR AIR,-24.15,6.48,8.74,1181,1912,SMALL BOX,0.36
645,4550,28/12/2009,HIGH,32,3730.54,0.07,DELIVERY TRUCK,1369.09,119.99,16.8,2661,1941,JUMBO BOX,0.35
649,4579,30/11/2011,HIGH,40,1765.05,0.05,REGULAR AIR,749.2155,43.41,2.99,6777,1097,SMALL BOX,0.39
656,4612,19/09/2010,MEDIUM,9,89.55,0.06,REGULAR AIR,-375.64,4.48,49,6065,1044,LARGE BOX,0.6
657,4642,26/02/2011,CRITICAL,9,65.61,0.08,REGULAR AIR,-39.74,7.28,3.52,6684,1571,SMALL PACK,0.68
658,4642,26/02/2011,CRITICAL,21,309.62,0,EXPRESS AIR,-80.2,14.03,9.37,6684,1570,SMALL BOX,0.56
669,4676,31/08/2011,HIGH,11,1210.0515,0.04,REGULAR AIR,-104.247,125.99,7.69,1321,1045,SMALL BOX,0.58
670,4676,31/08/2011,HIGH,50,187.83,0.03,REGULAR AIR,85.96,3.75,0.5,1321,1046,SMALL BOX,0.37
